,rand_layer,pearson,ssim,spearman,action
0,1,0.9822690523910058,0.9995347095445399,0.9991254478026005,
1,2,0.9312675543474396,0.990293107916213,0.9946427774136585,
2,3,0.801618192310319,0.852633448768677,0.901449495713978,
3,4,0.5750915917607223,0.8878928217991606,0.599474378644589,
4,5,0.3699114242928654,0.6899247178718427,0.31223366516768847,
5,1,0.9849198021210437,0.9999894589176549,0.9996339405678812,
6,2,0.9433229899490346,0.9989891869054192,0.9941290698479527,
7,3,0.7863851095615019,0.9476083514442869,0.8971768960872152,
8,4,0.5519732858359585,0.8602729437672101,0.6065465579024101,
9,5,0.2997366085681703,0.6865701153857805,0.32543196297061183,
10,1,0.9876031814448714,0.9999809037009116,0.9995196482378147,
11,2,0.9396830991230656,0.9970870965717614,0.9918407864411991,
12,3,0.824370411479185,0.9299946109850011,0.8878344306936791,
13,4,0.6057019009581226,0.8599432467519886,0.6366897580402937,
14,5,0.33712897599168756,0.675910377111345,0.3328126530341435,
15,1,0.9913824397104992,0.9999769996850435,0.9994429179648358,
16,2,0.9518529138105306,0.9952025221804168,0.9931544107656004,
17,3,0.8243234279492029,0.9178719051675691,0.8934464263721982,
18,4,0.5999650920152647,0.8590488154910729,0.6238176445548463,
19,5,0.30294608012508517,0.6614452560235227,0.34007866516235097,
20,1,0.9717419821274307,0.9998997817662619,0.9978606042116804,
21,2,0.935252055956926,0.9929343570964076,0.9928230762926276,
22,3,0.8152615934698022,0.8910965213054333,0.9055573934458934,
23,4,0.582878184583421,0.8719763130761071,0.6439153179704277,
24,5,0.3283557442462702,0.665756784059123,0.32012617315985875,
25,1,0.9919027385549952,0.9999306850844373,0.9984994661288797,
26,2,0.9494632082052326,0.9910454818371696,0.9934188378931592,
27,3,0.8150936824780266,0.9260941007593732,0.8986719836374988,
28,4,0.5982149603501072,0.8740850927579993,0.6174552555087576,
29,5,0.322775909663676,0.6608863697944929,0.3363559584231674,
30,1,0.992080187802441,0.9999435345763633,0.9993721655686372,
31,2,0.9401092131653326,0.9924952058292614,0.9928282718707021,
32,3,0.8202366360274385,0.8980497526196293,0.8948295086207924,
33,4,0.5701599730319759,0.8627575068609225,0.6074397719146808,
34,5,0.29406945218460945,0.6627169003636215,0.32259362738548103,
35,1,0.9858772290146588,0.9999490188951062,0.9994584703474747,
36,2,0.9491291459015113,0.9934328893748005,0.992409711058416,
37,3,0.7995719236358557,0.9004520213822285,0.8872487059196502,
38,4,0.5593603079893151,0.8619967764020398,0.5804180588411463,
39,5,0.2662203644078591,0.6681543835941721,0.31266210849150766,
40,1,0.9897337208257979,0.9999133528092675,0.9990414787820965,
41,2,0.9421444985957795,0.9936375107739811,0.992486675545525,
42,3,0.7772164690289431,0.9072964105373633,0.9026986517322627,
43,4,0.5597753795341075,0.8729547810437801,0.6015440714460831,
44,5,0.25582127036846325,0.6614165170698113,0.31700083841804044,
45,1,0.9830494789861953,0.9998062852425451,0.998849046164078,
46,2,0.9504327735365397,0.9913510350964453,0.9925167983972122,
47,3,0.7920197358722156,0.8854112685223425,0.8908759722441005,
48,4,0.5641944839769695,0.8703088124429584,0.5985840528456019,
49,5,0.247099606126365,0.6617133017453698,0.3148973682453863,
50,1,0.9783883737556447,0.9998283009317821,0.9985272284869945,
51,2,0.9443552236638422,0.9918541185565513,0.9936239170586659,
52,3,0.7818046882803938,0.8761629879864576,0.8809580630053131,
53,4,0.5461014942534729,0.8659920106313097,0.6231987159081076,
54,5,0.2822357878704844,0.6628932114237762,0.33277350524744276,
55,1,0.9816954802080029,0.9998595906488176,0.9985092508414846,
56,2,0.9393426268257843,0.9930091708005917,0.9929607049982835,
57,3,0.7885012366768376,0.8672254950085908,0.8734565474574539,
58,4,0.5843769510895642,0.8619107333009041,0.6274471735376136,
59,5,0.301800683866025,0.6648503347234204,0.33152180773920426,
60,1,0.9798113265165881,0.9998414140148423,0.9977297338213856,
61,2,0.9472676171818522,0.9938672348989627,0.9935297267284093,
62,3,0.7698413099484479,0.8889079565605456,0.8746469461777616,
63,4,0.5663429993689819,0.873322402278751,0.6064195040655231,
64,5,0.3157171701335803,0.6619126246522621,0.343544073273853,
65,1,0.9917827760716824,0.9999265311984769,0.999430421712921,
66,2,0.9369490107811991,0.9921835469718132,0.9937868452633707,
67,3,0.8087438113838179,0.8895031487872719,0.8899952331594183,
68,4,0.5987001903751727,0.8751479188840579,0.6190304342438369,
69,5,0.2521143517454481,0.6653648789694895,0.34384218455324006,
70,1,0.9813639371028895,0.9998172232679586,0.9981661409090404,
71,2,0.9307680570888139,0.9893119316810869,0.9935970616642729,
72,3,0.8150753705335734,0.8760024179208289,0.8725775332157331,
73,4,0.6006449756956076,0.8610613147610708,0.6422235547390922,
74,5,0.2355344549158875,0.6779974734182928,0.3325465471559061,
75,1,0.9845110470728937,0.9998461568162115,0.9988008428899787,
76,2,0.9546353251920874,0.992532677850905,0.9943547103771487,
77,3,0.8191091835645419,0.907344485781915,0.8804394703485664,
78,4,0.542994280171297,0.8566012277121358,0.6178403870998501,
79,5,0.31329679822308254,0.6584994817150855,0.31951874383700024,
80,1,0.9794536262775504,0.9998135362273209,0.9980601670487047,
81,2,0.9426773376364446,0.9869397167396183,0.9947946183733879,
82,3,0.8236188895462705,0.8691137394765767,0.8943504284517815,
83,4,0.5236449667780154,0.8743127171816502,0.6226306922536292,
84,5,0.2910056480418536,0.6782783059407179,0.2879305788419248,
85,1,0.9809106686739217,0.9998121066025575,0.9982780022421867,
86,2,0.9457619747882575,0.9900609994275066,0.9950762964470923,
87,3,0.8156225979549383,0.8774312324958443,0.8961264633050944,
88,4,0.5397265128917734,0.8700668897271071,0.6022292543336428,
89,5,0.26849200366421944,0.6344268198982139,0.3034761896005522,
90,1,0.9881023908585318,0.9998928354134228,0.9993367557897448,
91,2,0.9447578816105358,0.9917255346577719,0.9942542135949511,
92,3,0.8001311008460297,0.8673476114766366,0.8832124009884385,
93,4,0.582564566645124,0.8690949747486554,0.586243998075193,
94,5,0.3256210708586592,0.6455192573277687,0.325633382726752,
95,1,0.9895823002864595,0.9998713267802802,0.9990106461410365,
96,2,0.9421488323309314,0.9909480452804079,0.9931267040626358,
97,3,0.8030950624859057,0.9445877737979632,0.8663817590555088,
98,4,0.6136591899638055,0.8732036224601054,0.5990510084634871,
99,5,0.3166367064814891,0.6706343636053527,0.3424242024911446,
100,1,0.9871654215706871,0.9997016994430215,0.9958046262481476,
101,2,0.9382342623594222,0.9910613296663033,0.9927692443719808,
102,3,0.8057388266680049,0.8760408019977479,0.8854804280038888,
103,4,0.5831148792250427,0.8741838705675276,0.6096012476451134,
104,5,0.2995558482905779,0.6811676192655581,0.3222874100279727,
105,1,0.9873657364154208,0.9996554429572511,0.9956738588203241,
106,2,0.9431342219511276,0.9908816062192123,0.9927523628326052,
107,3,0.820817071593225,0.8751390809603814,0.8926750574399769,
108,4,0.5777021457250302,0.8658637156282658,0.6251821709763283,
109,5,0.3535647890313145,0.7073954138426316,0.32544698259799854,
110,1,0.9825899981554597,0.9995807978918877,0.9969347425512232,
111,2,0.9303299107471458,0.9925604992072786,0.9933195603850653,
112,3,0.8066199222632536,0.8871379942631967,0.8896781126491752,
113,4,0.5728978946629084,0.8703017907836215,0.6379980360514049,
114,5,0.31062024965122587,0.7146607477406097,0.3037096481649362,
115,1,0.9754924247861727,0.9999071393810882,0.9973075776180234,
116,2,0.9548635906756586,0.9957887826420002,0.9936555515694623,
117,3,0.8131372434641411,0.9242801399522825,0.8834403613571786,
118,4,0.5568621677769747,0.8565601248946387,0.6234778586931867,
119,5,0.2858277350195034,0.6421139593334325,0.31859892626649833,
120,1,0.9826427567082208,0.9998555946293646,0.9979349627779653,
121,2,0.9326193956952311,0.9898556309632899,0.9906710615375813,
122,3,0.7919534511150583,0.8714141113480207,0.8814565271905755,
123,4,0.591632160320485,0.8778130364370513,0.6152067674409634,
124,5,0.2637265242435394,0.7210277510143763,0.3055191519641267,
125,1,0.9928351355153462,0.9999346183968235,0.9991680313625003,
126,2,0.9508831407849948,0.9932853561805429,0.9931470891624302,
127,3,0.7953819133745685,0.9175867419768565,0.8960615578922647,
128,4,0.5596768500630239,0.8636371121640182,0.6064134252209065,
129,5,0.2579459733433326,0.6343321495163647,0.30010808415375356,
130,1,0.9903771398045815,0.9999068969337997,0.998967015580923,
131,2,0.9410012394633895,0.9900578718314921,0.9927536427867087,
132,3,0.8390743799914819,0.9241360380029834,0.8904156465857193,
133,4,0.5795711886363124,0.8617970691125977,0.6148416477818109,
134,5,0.247105518796082,0.6526604979970053,0.2919220422490248,
135,1,0.9901592409800837,0.9998885423886148,0.9981800375120865,
136,2,0.9616435459740855,0.9903477095070091,0.993979962640999,
137,3,0.8410930333094769,0.8947747626680155,0.8816843823441055,
138,4,0.5984451269305701,0.8648410018935778,0.6219690459159393,
139,5,0.2688129481234812,0.6555890150727267,0.3009492087012457,
140,1,0.9901034869014164,0.9999041627100329,0.9990433274019518,
141,2,0.9487189938406485,0.9936980157161418,0.9932048374247767,
142,3,0.8416692396556816,0.9064495751713932,0.8824601558742372,
143,4,0.5849626573623898,0.8764808487596104,0.597923984844468,
144,5,0.2514958752901475,0.6544116436661437,0.315664088094181,
145,1,0.9879817391960007,0.9998876662308529,0.9991526956963928,
146,2,0.9494524962733162,0.9934630991107104,0.992507047139349,
147,3,0.824629967737764,0.9224972415382123,0.8712088905007703,
148,4,0.5875304305146589,0.8780004840476184,0.5990726162770564,
149,5,0.24070741810170512,0.6669451014451538,0.3038444429909723,
150,1,0.984004307621749,0.9996466959903013,0.9987025715605682,
151,2,0.952696805226577,0.9894623889416542,0.9931869937815765,
152,3,0.8288020596128145,0.886864467146445,0.8994892381357722,
153,4,0.6113708363750479,0.870437474027002,0.6339150489317081,
154,5,0.2278027793569414,0.6554340767277058,0.299164103643153,
155,1,0.9905227463592368,0.9998568644993042,0.9988468375209811,
156,2,0.9556184068325287,0.9853170314172985,0.9926556921618243,
157,3,0.7969637075691629,0.9125094837457962,0.8791075852684136,
158,4,0.5726306623787638,0.8724853700350789,0.584433054667492,
159,5,0.2533002855413782,0.6650552490415175,0.30840696324958006,
160,1,0.9836569491020688,0.9997038225638907,0.9981122267977819,
161,2,0.9350584469775005,0.9830191658962935,0.9930178579297705,
162,3,0.8223197943471875,0.8864555131693602,0.8768735441421139,
163,4,0.5754003050425022,0.8807139849056357,0.6089223644512802,
164,5,0.25403073507894924,0.6593127993026663,0.30182853056897907,
165,1,0.9940017941395382,0.9999016216842844,0.9991610077403699,
166,2,0.9438645427637395,0.9924142437175841,0.9923270213489569,
167,3,0.8238990338947355,0.8957321862953733,0.8927378033797868,
168,4,0.6269263702463994,0.8795738342174714,0.6462686996009039,
169,5,0.21301920932133786,0.6669880321846723,0.28670429997085006,
170,1,0.9869453389661138,0.9999130426218634,0.9989215542572729,
171,2,0.9446354126804872,0.9953334742155522,0.9936949702581903,
172,3,0.8071834527695783,0.9646909309939949,0.8770864161503247,
173,4,0.6116100540018394,0.8686238869824695,0.6150515145118489,
174,5,0.2634451990899691,0.6567489259419494,0.3119534262599584,
175,1,0.9887480944931303,0.9998783125857462,0.9992056685521267,
176,2,0.9421775522933609,0.9907724273426687,0.9944070584146688,
177,3,0.8040992038527669,0.9538425894863718,0.8918941986159181,
178,4,0.5932661710215361,0.8691536490501144,0.6026315624867074,
179,5,0.2955695254478523,0.6576920918173321,0.31717549291006214,
