,state,q_values,importance
40,1035,"[ 0.38300067 -2.1862762  -1.5681947  -1.3050745   0.8333379   0.86159337
  0.49653283  0.8877042  -1.5937804 ]",0.02611083000000003
41,1036,"[ 0.4685859  -2.0590575  -1.3315793  -1.1153157   0.72035146  0.79348046
  0.5983732   0.89407575 -1.4487712 ]",0.10059528999999989
42,1037,"[ 0.44113448 -2.0996983  -1.3074554  -1.1014569   0.7725028   0.8302422
  0.6358406   1.0078673  -1.5138855 ]",0.17762509999999998
43,1038,"[ 0.49124303 -2.309017   -1.5133255  -1.2982023   0.823415    0.8909949
  0.6712023   0.88166463 -1.7153382 ]",0.009330270000000085
44,1039,"[ 0.39692453 -2.3446283  -1.6661025  -1.3794894   0.88962543  0.914146
  0.72062486  0.837929   -1.8181789 ]",0.024520569999999964
45,104,"[ 1.9047674  -2.922775   -3.1027145  -2.6158717  -0.30574176  1.8569722
  0.03181994 -1.5948969  -2.5547378 ]",0.04779520000000015
46,1040,"[ 0.43412155 -2.275028   -1.5958815  -1.293134    0.81223667  0.908499
  0.67065257  0.89028114 -1.7374705 ]",0.01821785999999992
47,1041,"[ 0.3790512  -2.0876496  -1.4716389  -1.1350479   0.7208193   0.881197
  0.52070874  0.9203805  -1.561176  ]",0.03918350000000004
48,1042,"[ 0.35632184 -2.045895   -1.418851   -1.1145171   0.70887595  0.89124227
  0.5013118   0.9728243  -1.529304  ]",0.08158202999999997
49,1043,"[ 0.33050358 -1.9967315  -1.5038221  -1.1488342   0.6542362   0.8955181
  0.5295706   0.9125448  -1.5725158 ]",0.01702670000000006
50,1044,"[ 0.4531332  -2.0833569  -1.433748   -1.1888208   0.6896224   0.84060204
  0.50890744  0.9004019  -1.6024992 ]",0.05979985999999993
51,1045,"[ 0.40980825 -2.3227603  -1.6343093  -1.3739519   0.7651675   0.93754613
  0.45358586  0.9665608  -1.7905943 ]",0.02901467000000002
52,1046,"[ 0.45099962 -2.204692   -1.4855053  -1.2450271   0.7505498   0.89435154
  0.49828762  1.0309571  -1.6530852 ]",0.13660556000000001
53,1047,"[ 0.40061754 -2.0561447  -1.3909568  -1.1366643   0.6640452   0.8380298
  0.46339336  0.97637165 -1.5195664 ]",0.13834185
54,1048,"[ 0.37425083 -1.9999477  -1.3390286  -1.1117814   0.66078925  0.81156677
  0.4060729   0.97193694 -1.4674308 ]",0.16037016999999998
55,1049,"[ 0.3692048  -1.992069   -1.4038877  -1.1260719   0.6087869   0.8268566
  0.3401194   0.94130516 -1.4572655 ]",0.11444855999999992
56,105,"[ 2.1254516  -3.2101977  -3.300389   -2.8302336  -0.26813146  1.8920287
 -0.01302291 -1.6360563  -2.690091  ]",0.23342289999999988
57,1050,"[ 0.5452522 -2.1595886 -1.6091647 -1.2562916  0.4718936  0.8645318
  0.3317035  0.7685028 -1.603199 ]",0.09602899999999992
58,1051,"[ 0.53587824 -2.1166894  -1.507968   -1.1846185   0.49425796  0.82770985
  0.4308275   0.85547    -1.5647932 ]",0.027760149999999983
59,1052,"[ 0.5355717  -2.0979655  -1.5370682  -1.190525    0.49477482  0.82202435
  0.44158575  0.8322675  -1.5656626 ]",0.01024315000000009
60,1053,"[ 0.48920682 -2.167194   -1.5958407  -1.3135965   0.47834617  0.8360458
  0.38478372  0.88210183 -1.6853853 ]",0.046056030000000026
61,1054,"[ 0.48117876 -2.136      -1.5433958  -1.2365007   0.47080004  0.83040357
  0.43622997  0.8747831  -1.6388663 ]",0.044379530000000056
